"TARGET_WINS","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_PITCHING_H","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","TEAM_BATTING_1B"
111,207,60,58,440,329,187,1810,478,358,325,139,1340
101,190,96,42,459,287,197,1723,489,306,314,131,1289
77,191,80,56,464,326,214,1933,545,383,318,101,1320
86,168,46,17,471,569,223,1647,557,673,279,106,1162
68,207,55,29,467,585,187,1578,548,682,412,104,1053
58,162,53,25,335,636,151,1365,355,649,358,96,1049
54,156,55,18,318,634,139,1346,335,645,327,94,1051
53,146,46,17,382,690,100,1283,410,715,362,109,987
63,155,67,24,452,560,129,1465,495,608,273,140,1092
66,144,45,18,436,607,141,1359,459,624,265,95,1085
48,131,46,16,424,671,143,1257,449,686,360,107,994
56,183,52,33,380,572,161,1412,402,606,323,145,1066
47,267,58,40,594,619,181,1631,637,664,372,118,1155
55,240,72,37,481,731,145,1642,509,774,312,137,1202
74,205,64,34,524,687,190,1517,562,737,293,88,1111
100,226,64,37,532,653,147,1465,563,691,251,151,1057
88,246,61,18,585,661,129,1384,623,704,227,123,974
76,179,79,23,452,622,164,1435,479,659,237,129,1074
69,140,77,17,457,572,108,1731,597,747,240,116,1091
66,165,72,28,414,561,169,1632,483,654,238,129,1135
66,179,92,25,410,520,94,1542,437,554,255,133,1151
84,221,106,65,399,498,100,1750,422,527,211,129,1261
56,172,77,34,410,478,71,1519,434,506,228,128,1152
57,224,61,34,451,425,60,1611,474,447,242,165,1212
56,205,55,26,375,478,78,1519,397,506,178,163,1149
74,275,74,43,429,402,82,1757,454,426,234,154,1267
70,223,66,17,454,371,86,1640,484,395,222,160,1233
63,227,64,39,364,382,105,1658,383,402,243,137,1246
53,255,43,55,473,399,64,1614,501,422,204,149,1171
59,265,81,35,429,454,68,1639,451,478,215,154,1177
74,259,82,69,349,418,73,1663,367,440,187,176,1171
67,232,62,36,387,452,48,1513,407,475,176,148,1108
81,276,56,66,365,522,38,1616,384,549,160,153,1138
87,228,59,57,343,450,26,1461,361,473,137,156,1045
84,250,47,89,402,472,32,1680,431,506,181,129,1180
40,247,35,79,374,462,21,1565,396,489,209,107,1117
75,218,47,70,455,612,24,1604,479,644,199,184,1190
84,213,44,67,517,754,48,1437,551,804,167,136,1024
68,213,42,60,393,530,44,1606,422,569,194,191,1182
69,233,53,63,428,619,51,1552,456,660,195,180,1107
65,230,21,74,519,555,54,1457,568,608,152,151,1006
72,214,38,41,497,645,59,1360,526,683,188,147,991
68,263,41,83,480,535,39,1437,505,563,191,168,979
71,244,27,108,554,544,87,1651,590,580,206,171,1170
86,252,51,47,591,496,64,1544,626,525,179,137,1108
90,279,44,89,587,526,61,1598,617,553,161,130,1107
96,288,52,101,710,568,46,1635,752,601,151,140,1103
79,259,35,108,720,690,29,1522,757,726,157,151,1045
87,259,38,156,647,648,75,1561,681,682,191,154,1031
80,246,39,137,594,649,84,1533,625,683,153,165,1035
68,198,33,116,511,753,61,1361,541,797,162,151,938
94,228,43,146,495,651,57,1543,521,685,122,180,1050
89,230,58,191,530,773,44,1524,558,813,160,163,970
100,232,65,209,485,767,37,1625,510,807,126,182,1039
89,224,37,184,507,794,43,1538,527,825,128,143,1036
93,208,50,179,487,834,73,1541,512,877,146,144,1028
87,209,36,198,562,926,74,1511,591,974,117,160,993
86,204,38,181,581,975,57,1376,581,975,123,154,953
84,204,39,139,525,954,75,1345,525,954,129,161,963
88,274,32,159,486,825,53,1522,486,825,143,139,1057
86,243,28,196,408,976,64,1419,408,976,140,145,952
85,220,32,207,512,913,59,1476,512,913,154,139,1017
77,191,29,158,512,947,55,1307,512,947,138,148,929
81,179,31,80,414,782,83,1399,414,782,125,139,1109
76,215,24,160,522,736,58,1495,522,736,140,118,1096
74,196,18,151,560,810,49,1508,589,852,164,137,1069
76,220,34,207,612,875,85,1515,616,880,167,143,1045
88,202,37,120,571,772,72,1375,571,772,132,161,1016
67,180,28,108,546,764,55,1339,549,769,176,148,1015
70,170,30,82,589,811,74,1309,589,811,167,151,1027
61,218,20,139,537,876,82,1404,537,876,175,127,1027
69,191,39,123,550,874,90,1313,550,874,153,126,960
67,223,28,128,496,828,99,1424,502,838,185,141,1027
82,227,22,145,437,905,73,1368,440,911,163,157,966
76,226,34,98,491,825,150,2069,750,1261,156,142,996
89,215,22,146,554,869,151,1411,554,869,137,186,1028
88,218,45,130,582,847,146,1489,582,847,137,176,1096
80,234,27,111,555,896,140,1338,555,896,139,153,966
66,213,28,126,553,849,72,1359,553,849,159,197,992
72,242,24,139,541,910,94,1364,544,916,142,182,951
69,286,24,153,645,839,136,1419,649,844,117,171,947
55,231,28,97,437,859,96,1352,442,870,153,140,979
65,263,26,162,473,1010,92,1376,473,1010,158,133,925
94,255,30,141,563,906,165,1407,563,906,138,122,981
98,223,48,138,493,924,126,1391,493,924,109,121,982
104,239,29,169,560,946,125,1444,560,946,108,146,1007
97,281,26,195,536,949,68,2082,762,1349,115,121,963
101,236,30,189,585,1050,82,1521,658,1181,113,127,897
96,264,28,197,530,1032,83,1514,530,1032,130,143,1025
101,268,37,174,597,1160,108,1490,597,1160,114,136,1011
106,297,26,215,548,1062,98,1489,548,1062,91,139,951
103,309,23,197,608,962,148,1481,608,962,111,122,952
95,274,26,179,595,1010,148,1490,595,1010,129,138,1011
88,263,24,174,493,1039,85,1432,493,1039,103,133,971
101,321,31,235,545,933,68,1608,545,933,121,166,1021
96,304,37,178,587,1158,86,1503,587,1158,116,171,984
90,308,37,184,534,1084,92,1453,534,1084,86,170,924
79,312,26,222,526,1169,52,1510,526,1169,99,146,950
57,227,78,31,384,454,208,1748,454,537,465,125,1142
93,248,73,35,444,390,163,1780,529,465,326,145,1138
76,193,79,14,316,628,118,1538,368,732,312,110,1034
69,163,56,11,354,649,160,1438,377,692,285,83,1119
83,158,65,22,398,546,240,1471,433,583,314,87,1108
74,164,67,11,394,473,153,1504,420,494,284,103,1169
88,184,55,21,366,614,134,1432,390,642,253,103,1084
66,125,49,11,357,631,147,1342,386,666,288,116,1058
49,138,63,13,437,667,178,1222,460,673,405,119,948
48,199,67,18,490,620,133,1354,522,637,382,111,986
56,175,75,20,472,545,185,1397,497,551,358,134,1058
60,190,77,19,482,814,221,1337,510,862,319,132,977
75,196,79,18,448,914,247,1391,474,968,336,121,1021
66,175,68,20,497,805,212,1389,523,847,353,151,1057
83,190,53,15,660,673,246,1397,694,708,261,126,1070
60,193,66,16,426,568,165,1383,448,598,296,146,1040
77,202,53,7,527,451,183,1834,700,599,252,114,1119
78,218,85,36,456,516,86,1676,531,601,249,114,1099
80,295,88,53,452,359,125,1851,479,380,245,126,1312
85,259,112,70,434,428,97,1831,457,450,236,134,1300
98,306,99,103,498,401,139,1874,524,422,206,166,1273
79,264,66,87,471,451,68,1691,502,481,188,155,1170
79,284,66,71,496,372,91,1753,529,396,188,150,1224
65,266,82,76,460,489,65,1603,484,514,240,176,1100
62,277,62,58,469,445,96,1615,497,471,263,176,1128
86,290,80,66,576,504,80,1583,606,530,194,154,1069
67,304,70,79,523,579,98,1566,550,609,199,160,1036
66,302,65,80,513,610,77,1611,540,642,243,168,1084
66,288,73,70,533,555,73,1662,561,584,197,164,1149
59,262,69,69,558,597,77,1538,599,640,161,174,1034
71,269,63,66,548,673,46,1609,584,717,199,171,1112
69,310,54,78,632,598,48,1642,674,637,198,147,1099
61,319,70,84,666,668,66,1706,710,712,200,152,1128
48,344,46,75,541,536,32,1741,569,564,183,175,1190
45,255,53,96,588,637,50,1607,619,670,209,151,1124
70,292,61,124,585,675,54,1575,615,710,166,188,1020
74,296,61,96,815,581,53,1594,857,611,159,164,1062
77,244,38,83,606,689,39,1441,646,734,162,135,987
94,235,47,76,559,635,46,1470,588,668,180,149,1039
87,231,40,68,536,595,27,1499,575,638,153,132,1058
69,231,48,88,489,750,24,1494,514,789,167,165,1053
62,199,55,95,613,698,73,1370,645,734,141,178,953
62,266,66,67,612,606,67,1613,648,642,178,201,1124
56,224,32,123,664,736,40,1440,698,774,174,162,990
61,247,45,112,726,783,41,1404,764,824,206,163,931
55,235,49,90,548,729,37,1425,576,767,180,188,981
67,237,48,86,568,757,32,1483,598,796,163,185,1039
57,205,52,55,492,667,32,1449,518,702,155,160,1065
60,186,41,57,589,781,36,1398,620,822,170,167,1045
73,208,36,96,592,763,41,1375,623,803,140,149,967
81,204,42,93,537,745,61,1506,572,794,116,169,1074
78,206,20,114,511,774,35,1383,541,820,121,168,966
78,191,24,115,564,726,38,1372,593,764,155,171,974
94,217,35,129,627,843,39,1446,660,887,113,181,994
95,227,36,149,581,902,39,1393,581,902,126,173,981
77,225,34,156,516,931,45,1363,516,931,122,152,948
86,207,32,146,469,940,97,1359,469,940,99,157,974
97,229,20,162,537,1019,78,1357,537,1019,95,159,946
94,227,38,125,529,907,67,1299,529,907,126,152,909
98,246,35,177,520,938,56,1462,527,950,116,144,986
76,216,44,139,534,1008,54,1328,537,1014,125,145,921
91,215,28,133,570,1019,78,1187,570,1019,120,131,811
109,234,29,175,634,806,82,1465,634,806,101,145,1027
108,213,25,179,717,952,84,1424,717,952,117,148,1007
104,212,26,162,689,865,68,1453,706,887,115,152,1017
84,203,31,105,533,984,82,1276,561,1035,105,158,874
97,229,48,119,648,752,146,1474,648,752,119,184,1078
91,226,27,116,509,770,145,1418,509,770,128,174,1049
92,228,34,126,591,850,106,1435,602,866,109,178,1020
88,213,28,119,519,883,150,1326,519,883,118,157,966
98,232,25,149,563,951,91,1451,566,957,107,190,1036
91,250,19,155,555,869,75,1415,558,874,111,167,982
104,263,24,184,619,863,101,1454,631,879,127,164,956
100,258,29,156,587,766,111,1523,587,766,95,178,1080
91,255,17,136,623,700,63,2101,961,1080,105,176,954
94,259,27,179,634,796,49,1478,634,796,101,140,1013
98,283,27,168,601,800,61,1492,601,800,121,159,1014
85,234,23,160,620,884,51,1374,620,884,123,166,957
84,235,22,215,608,914,69,1469,612,920,116,169,988
73,223,13,169,563,862,64,1425,563,862,135,163,1020
67,219,20,211,524,939,69,1437,524,939,109,174,987
54,200,20,138,507,874,69,1291,510,879,119,173,925
87,238,33,129,593,957,118,1369,593,957,87,163,969
76,235,22,133,664,968,95,1344,668,974,92,152,946
67,256,29,170,528,974,50,1421,528,974,89,172,966
89,243,36,148,647,827,89,1423,647,827,93,168,996
85,287,24,157,655,930,73,1470,655,930,100,171,1002
91,268,29,201,634,947,100,2190,917,1370,82,149,1016
80,258,30,195,646,903,104,1603,727,1016,81,159,942
88,299,29,257,645,915,76,1557,645,915,97,173,972
98,264,22,196,586,952,63,1498,586,952,97,148,1016
79,303,11,214,593,903,86,1520,593,903,81,144,992
78,299,21,203,615,890,107,1572,615,890,89,192,1049
74,310,22,184,558,900,126,1508,558,900,116,151,992
63,264,24,137,517,995,134,1375,520,1001,126,138,942
67,311,27,165,452,993,110,1353,452,993,91,173,850
78,319,18,169,528,949,101,1614,528,949,110,161,1108
74,296,27,189,447,902,83,1492,447,902,107,154,980
44,221,79,25,664,450,196,1881,815,552,603,137,1208
86,190,79,41,461,816,245,1455,495,875,260,117,1046
79,206,72,43,448,626,196,1432,477,667,247,119,1023
96,203,128,49,322,833,361,2092,492,1273,705,84,989
61,184,88,25,415,786,310,1849,617,1168,623,95,947
59,153,63,10,469,746,333,1446,580,923,648,95,943
92,242,120,37,563,401,654,1925,676,481,659,59,1205
67,192,83,22,352,566,385,1493,416,669,545,82,966
84,186,82,24,502,643,373,1741,602,772,643,100,1159
85,170,119,36,661,664,410,1752,793,797,604,98,1135
51,176,122,33,550,529,250,1630,606,583,644,117,1148
75,204,107,34,669,403,290,1989,834,502,479,123,1251
113,343,190,42,653,253,410,2638,826,320,371,109,1509
108,293,111,31,442,303,386,2376,551,378,359,108,1472
113,260,126,29,485,252,554,2441,609,316,372,85,1529
112,303,82,24,545,319,500,2460,679,398,345,101,1565
104,167,84,13,564,344,272,1872,613,374,354,131,1458
94,223,78,19,458,419,398,1808,501,459,337,102,1332
88,234,70,34,512,620,160,1520,539,652,272,110,1107
49,206,56,38,494,674,135,1366,520,709,287,147,999
94,218,124,44,394,336,187,1920,469,400,392,124,1226
91,231,112,50,325,443,156,1896,384,524,302,119,1210
107,261,133,56,308,659,166,1841,362,774,276,101,1118
100,204,110,27,365,600,106,1432,384,631,248,87,1020
83,176,74,31,518,651,140,1340,552,677,309,80,976
52,168,79,14,313,605,104,1354,329,613,350,88,1026
64,167,52,20,332,607,136,1447,361,647,292,112,1092
79,123,93,15,304,546,176,1371,320,556,311,75,1072
94,162,74,21,373,496,231,1504,400,521,312,102,1145
86,185,92,46,455,513,205,1513,482,527,326,85,1106
83,215,70,37,536,483,201,1546,568,495,341,98,1138
112,287,90,31,602,490,197,1594,642,514,284,94,1088
85,238,109,18,503,577,204,1556,543,623,257,91,1076
96,239,90,19,519,581,187,1433,550,615,256,105,1005
108,217,82,15,565,511,127,1505,606,548,242,102,1089
96,207,59,15,488,507,136,1379,513,533,193,114,1030
96,211,68,15,497,504,112,1412,530,537,195,124,1031
96,204,69,19,522,417,141,1637,671,536,195,114,981
78,214,58,39,557,486,128,1661,659,575,169,140,1094
76,229,75,23,564,454,104,1566,597,481,194,139,1152
79,261,73,18,450,362,87,1594,473,381,165,159,1163
65,270,58,36,417,512,82,1538,444,546,247,134,1079
50,274,68,44,547,450,45,1561,583,480,282,160,1079
49,264,57,34,492,476,51,1486,521,504,193,151,1048
54,285,82,29,452,480,86,1492,475,505,234,170,1022
60,275,66,40,412,542,105,1520,436,574,182,147,1055
61,300,73,29,434,520,89,1524,457,547,229,167,1047
55,270,72,49,377,581,44,1541,397,611,204,169,1074
45,266,60,56,493,567,48,1473,519,596,243,174,1018
68,320,61,54,571,504,63,1663,621,548,224,145,1095
81,306,75,54,650,570,124,1664,693,608,201,150,1126
83,298,67,73,645,498,96,1635,683,527,201,144,1106
78,303,65,90,614,489,58,1643,646,514,170,146,1104
85,287,68,107,641,594,84,1711,683,633,187,148,1143
96,324,61,107,707,503,60,1852,769,547,203,187,1211
95,308,61,133,634,542,45,1776,680,581,192,158,1153
86,317,84,153,621,628,58,1733,653,661,182,164,1093
72,238,45,61,518,630,92,1492,552,671,163,191,1056
81,291,59,73,549,531,63,1612,578,559,181,162,1109
75,237,46,53,569,562,76,1541,599,591,177,208,1129
87,217,57,108,701,621,43,1562,737,653,144,181,1103
100,290,42,126,860,577,40,1606,899,603,121,182,1079
101,286,38,138,878,536,45,1660,924,564,126,218,1116
99,302,64,169,756,612,34,1842,795,644,117,190,1216
92,245,34,134,795,625,21,1580,836,657,145,194,1089
80,245,36,119,570,777,62,1481,600,817,150,190,1008
89,270,39,107,525,636,35,1552,556,673,156,183,1050
73,257,43,129,688,694,54,1589,724,730,185,171,1082
88,254,41,144,744,771,45,1540,783,811,143,147,1025
86,243,34,161,656,777,31,1527,690,817,157,188,1014
83,241,32,163,671,863,31,1477,706,908,153,181,968
79,261,29,131,659,852,72,1477,693,896,137,176,983
68,246,34,130,600,839,36,1504,631,883,147,164,1020
76,251,37,112,647,847,56,1401,647,847,143,140,1001
76,249,34,172,478,960,27,1421,481,966,133,120,957
72,253,29,186,504,917,18,1425,504,917,136,123,957
62,244,40,165,607,964,47,1378,607,964,159,129,929
72,228,44,145,542,1020,35,1318,542,1020,153,153,901
92,216,39,158,522,1020,68,1394,522,1020,142,142,981
86,207,17,125,582,974,76,1253,582,974,128,147,904
87,234,37,197,658,923,41,1381,658,923,157,178,913
85,246,28,161,552,871,51,1360,552,871,116,149,925
89,235,30,147,581,799,114,1472,581,799,127,162,1060
84,236,31,109,569,811,104,1449,569,811,145,156,1073
96,288,45,136,572,750,67,1538,579,759,137,144,1050
83,257,53,134,500,832,95,1448,500,832,139,148,1004
98,268,46,171,578,830,74,1475,574,825,145,170,999
92,314,34,196,518,717,61,1607,524,726,144,168,1043
84,301,36,164,481,729,80,1628,487,738,151,209,1107
89,271,31,136,547,736,42,1536,547,736,121,172,1098
78,287,32,142,536,758,30,1512,536,758,130,168,1051
81,292,31,162,562,816,66,1615,562,816,145,161,1130
78,273,26,174,606,825,77,1554,606,825,110,158,1081
83,326,30,108,643,755,56,1571,643,755,127,162,1107
88,298,31,106,598,795,53,1502,598,795,123,154,1067
84,305,25,126,593,820,59,1486,593,820,116,165,1030
73,259,21,84,591,865,44,1343,591,865,139,170,979
80,319,29,114,508,871,73,1451,508,871,122,155,989
76,313,27,169,569,1018,114,2060,802,1434,114,175,953
97,322,35,197,630,1038,111,1771,709,1168,135,170,1020
85,308,31,209,642,1020,91,1631,642,1020,135,152,1083
78,373,32,185,514,1044,68,1684,514,1044,136,179,1094
92,338,35,205,541,1049,72,1568,541,1049,105,128,990
94,334,42,176,597,928,67,1551,597,928,127,131,999
85,316,32,167,611,1019,43,1503,611,1019,109,120,988
83,318,29,199,523,1138,46,1511,526,1145,114,130,956
93,348,33,177,545,944,80,1560,545,944,104,140,1002
95,371,40,238,620,943,88,1667,620,943,113,130,1018
98,373,25,222,659,1189,68,1613,659,1189,118,129,993
95,339,21,199,653,1044,45,1579,653,1044,109,135,1020
86,327,16,192,672,1056,51,1510,672,1056,66,174,975
43,190,77,21,537,746,298,2059,879,1221,645,104,970
102,280,95,68,819,546,517,2060,1029,686,576,96,1197
81,237,89,44,425,700,231,1552,447,736,297,126,1105
75,218,80,38,504,697,265,1532,537,743,304,110,1101
47,205,73,6,178,646,353,2612,352,1276,796,109,1038
87,307,99,13,246,571,360,2951,411,954,743,97,1348
93,238,101,57,314,668,326,2341,458,975,676,102,1208
55,216,72,33,259,550,288,2051,375,796,671,101,1097
93,228,114,42,616,453,334,2040,756,556,652,115,1278
53,169,132,25,224,685,422,2382,374,1144,894,72,1100
104,161,144,60,294,606,307,2028,441,909,650,90,987
53,229,57,8,73,423,306,2600,144,836,800,83,1022
91,251,100,14,147,457,276,2700,284,881,636,100,1035
69,231,75,14,255,432,287,2960,492,833,671,131,1215
83,275,79,40,241,516,287,2795,476,1019,701,140,1021
92,307,63,13,232,625,291,2377,387,1044,650,95,1040
51,213,71,23,246,833,359,1954,356,1205,741,86,1044
98,458,101,21,213,660,403,2733,352,1091,898,76,1073
90,234,72,205,382,678,318,2460,553,981,861,122,1190
126,266,108,78,492,621,319,2258,712,898,719,108,1109
118,259,114,69,601,670,278,2088,785,875,621,120,1156
95,238,131,107,545,536,511,2110,730,718,632,81,1100
92,176,114,92,348,676,344,1729,418,811,500,96,1059
82,226,81,97,636,633,298,1919,781,777,568,124,1160
98,191,106,72,631,548,286,1776,757,658,476,119,1111
78,165,102,29,474,535,259,1462,526,594,470,108,1022
70,325,106,80,609,366,401,2342,747,449,555,115,1397
90,230,123,43,518,367,420,2100,656,464,464,96,1263
72,232,119,47,528,389,324,2042,648,477,484,112,1266
92,189,91,19,514,426,238,1669,555,460,445,124,1246
82,189,90,30,444,374,270,1711,486,409,468,117,1254
75,234,59,38,397,443,219,1709,459,513,484,113,1146
62,178,71,21,366,620,238,1698,427,723,392,101,1187
80,155,47,7,417,668,263,1678,493,790,368,131,1210
96,224,73,11,495,360,304,1791,581,465,369,92,1218
98,166,66,23,316,563,240,1451,335,580,299,94,1115
97,166,87,13,474,544,283,1400,502,566,260,105,1056
124,193,76,21,477,532,302,1495,508,564,203,107,1113
114,173,51,14,464,614,250,1391,495,646,225,117,1067
104,206,59,20,440,635,223,1402,463,658,217,80,1048
110,215,64,21,445,665,198,1375,471,690,258,101,999
109,230,88,36,570,527,182,1475,600,554,241,116,1048
97,229,106,57,615,649,225,1477,647,683,274,120,1012
98,265,97,46,605,664,177,1631,653,717,269,135,1102
93,206,102,62,587,671,192,1445,622,710,275,112,995
82,209,78,44,527,607,173,1360,554,639,326,92,962
71,205,59,49,422,701,141,1387,447,742,293,110,997
105,206,67,26,450,431,200,1808,565,541,236,114,1141
87,192,67,24,345,415,174,1571,399,480,215,101,1075
68,248,59,39,363,396,74,1741,384,419,176,137,1298
84,261,75,44,552,470,102,1730,581,494,212,162,1265
87,256,55,95,479,510,190,1678,504,536,219,151,1189
86,219,62,70,497,552,145,1590,526,584,231,162,1151
72,267,74,90,418,494,99,1631,440,520,208,169,1119
86,306,52,69,468,470,89,1607,492,494,170,183,1101
90,282,67,78,509,521,69,1688,539,552,192,161,1167
96,264,67,97,534,544,87,1616,562,572,164,185,1108
104,330,49,148,628,604,110,1880,669,644,164,180,1237
95,321,76,180,619,668,74,1905,651,703,179,176,1234
88,358,69,88,607,674,52,1746,639,709,178,148,1145
95,311,63,73,419,541,50,1681,441,569,182,154,1151
92,282,47,108,402,676,63,1720,431,725,147,145,1166
105,319,65,93,488,495,69,1749,513,521,196,171,1186
98,266,78,101,566,522,75,1701,595,549,159,148,1172
95,258,75,69,556,507,52,1630,593,540,144,161,1127
88,277,65,96,550,582,64,1557,579,612,196,133,1042
79,286,50,90,507,595,66,1595,533,626,209,150,1090
74,251,26,104,588,705,41,1464,619,742,189,146,1011
72,236,43,79,535,639,66,1505,563,672,178,178,1073
78,219,59,55,608,553,56,1547,644,586,177,146,1128
79,248,48,75,547,548,56,1577,575,576,195,159,1128
103,241,55,60,583,486,73,1621,613,511,125,130,1185
87,236,53,59,620,634,46,1507,656,671,155,126,1075
73,243,50,75,495,608,23,1519,521,640,158,167,1076
67,237,46,92,466,608,41,1552,490,640,181,160,1100
64,223,56,102,417,603,56,1478,439,634,197,168,1024
68,237,50,170,507,812,49,1455,537,860,210,179,917
65,210,49,108,502,681,66,1469,528,716,190,169,1029
81,235,47,113,444,749,53,1558,467,788,154,129,1086
68,215,60,144,541,785,52,1518,569,826,203,148,1024
67,241,47,167,503,729,48,1562,529,767,162,173,1030
76,198,58,174,453,853,39,1443,480,903,156,156,933
63,212,53,149,469,816,58,1418,493,858,150,148,934
65,235,33,155,485,1040,29,1452,510,1094,144,147,957
76,218,52,191,512,897,41,1552,539,944,158,169,1014
78,220,46,171,524,958,34,1462,551,1008,147,149,953
63,224,50,125,559,944,54,1431,588,993,150,140,961
67,250,54,185,567,1080,37,1510,596,1136,193,184,946
59,196,56,126,504,1044,78,1398,504,1044,146,171,1020
82,205,44,127,439,1049,68,1286,439,1049,155,172,910
72,202,33,134,532,948,65,1316,532,948,171,166,947
59,203,43,140,457,998,76,1418,457,998,166,132,1032
88,212,49,129,512,918,63,1391,515,924,122,144,992
92,215,40,142,559,928,30,1400,559,928,136,149,1003
84,228,44,179,607,844,39,1424,607,844,137,146,973
83,202,34,128,527,772,44,1401,527,772,126,150,1037
89,215,42,139,591,852,72,1471,618,890,138,155,1011
77,202,21,118,579,860,65,1338,583,865,158,156,989
66,221,42,110,621,857,78,1397,621,857,199,141,1024
75,229,41,95,650,802,67,1419,650,802,178,152,1054
75,216,24,105,490,834,74,1386,490,834,140,145,1041
81,271,37,111,534,796,64,1489,534,796,153,147,1070
79,224,48,72,562,746,110,1461,562,746,144,154,1117
80,250,43,135,478,762,73,1494,478,762,159,163,1066
73,239,46,102,460,869,132,1436,460,869,132,110,1049
71,272,42,140,470,868,84,1436,470,868,115,164,982
97,241,47,137,571,973,155,1433,575,979,122,138,999
77,240,28,151,565,943,183,1415,569,949,135,151,987
71,261,27,157,514,978,134,1445,520,990,126,149,982
76,246,33,210,507,1071,110,1493,510,1078,131,155,995
77,262,46,113,403,910,120,1481,403,910,125,128,1060
93,235,45,124,472,921,136,1438,472,921,119,130,1034
77,240,36,136,406,869,151,1474,406,869,122,136,1062
78,235,26,161,448,890,125,1430,454,901,114,122,990
84,259,32,161,446,923,100,1521,446,923,115,162,1069
